Player,Pos'n,Age 7/1/23,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Judge, Aaron",rf-dh,31.066,rejected,NYA,NYA,9,"$400,000,000 ",2023-31,,,"$40,000,000",PSI Spts,Hal Steinbrenner,Brian Cashman,
"Turner, Trea",ss,30.001,rejected,LAN,PHI,11,"$300,000,000 ",2023-33,,,"$27,272,727",CAA,John Middleton,DDombrowski / SFuld,
"Bogaerts, Xander",ss,30.273,rejected,BOS,SDN,11,"$280,000,000 ",2023-33,,,"$25,454,545",Boras Corp.,Peter Seidler,A.J. Preller,
"Correa, Carlos",ss,28.282,,MIN,MIN,6,"$200,000,000 ",2023-28,vesting,,"$33,333,333",Boras Corp.,Jim Pohlad,DFalvey /TLevine,
"deGrom, Jacob",rhp-s,35.012,rejected,NYN,TEX,5,"$185,000,000 ",2023-27,conditional,,"$37,000,000",VC Spts,RDavis/BSimpson,Chris Young,
"Swanson, Dansby",ss,29.140,rejected,ATL,CHN,7,"$177,000,000 ",2023-29,,,"$25,285,714",Excel,Tom Ricketts,JHoyer / CHawkins,
"Nimmo, Brandon",cf,30.096,rejected,NYN,NYN,8,"$162,000,000 ",2023-30,,,"$20,250,000",Boras Corp.,Steve Cohen,Billy Eppler,
"Rodon, Carlos",lhp-s,30.203,rejected,SFN,NYA,6,"$162,000,000 ",2023-28,,,"$27,000,000",Boras Corp.,Hal Steinbrenner,Brian Cashman,
"Díaz, Edwin",rhp-c,29.101,,NYN,NYN,5,"$102,000,000 ",2023-27,club,Y,"$20,400,000",Wasserman,Steve Cohen,Billy Eppler,
"Contreras, Willson",c,31.049,rejected,CHN,SLN,5,"$87,500,000 ",2023-27,club,,"$17,500,000",Octagon,Bill DeWitt Jr.,JMozeliak/MGirsh,
"Verlander, Justin",rhp-s,40.131,,HOU,NYN,2,"$86,666,666 ",2023-24,vesting,,"$43,333,333",ISE,Steve Cohen,Billy Eppler,
"Benintendi, Andrew",lf,28.360,,NYA,CHA,5,"$75,000,000 ",2023-27,,,"$15,000,000",Excel,Jerry Reinsdorf,KWilliams/RHahn,
"Walker, Taijuan",rhp-s,30.322,,NYN,PHI,4,"$72,000,000 ",2023-26,,,"$18,000,000",Boras Corp.,John Middleton,DDombrowski / SFuld,
"Taillon, Jameson",rhp-s,31.225,,NYA,CHN,4,"$68,000,000 ",2023-26,,,"$17,000,000",Excel,Tom Ricketts,JHoyer / CHawkins,
"Bassitt, Chris",rhp-s,34.129,rejected,NYN,TOR,3,"$63,000,000 ",2023-25,,,"$21,000,000",Meister Spts,Edward Rogers,MShapiro/RAtkins,
"Abreu, José",1b,36.153,,CHA,HOU,3,"$58,500,000 ",2023-25,,,"$19,500,000",ISE,Jim Crane,ABall / BFirkus,
"Suarez, Robert",rhp,32.122,,SDN,SDN,5,"$46,000,000 ",2023-27,,Y,"$9,200,000",Amuse Spts,Peter Seidler,A.J. Preller,
"Haniger, Mitch",rf,32.190,,SEA,SFN,3,"$43,500,000 ",2023-25,,Y,"$14,500,000",Apex,Greg Johnson,F Zaidi / P Putila,
"Eflin, Zach",rhp-s,29.084,,PHI,TBA,3,"$40,000,000 ",2023-25,,,"$13,333,333",O'Connell Spts,Stuart Sternberg,ENeander / PBendix,
"Rizzo, Anthony",1b,33.327,rejected,NYA,NYA,2,"$40,000,000 ",2023-24,club,,"$20,000,000",Sports One,Hal Steinbrenner,Brian Cashman,
"Anderson, Tyler",lhp-s,33.183,rejected,LAN,ANA,3,"$39,000,000 ",2023-25,,,"$13,000,000",GSE,Arturo Moreno,Perry Minasian,
"Conforto, Michael",rf,30.122,,NYN,SFN,2,"$36,000,000 ",2023-24,player,,"$18,000,000",Boras Corp.,Greg Johnson,F Zaidi / P Putila,
"Montero, Rafael",rhp,32.257,,HOU,HOU,3,"$34,500,000 ",2023-25,,,"$11,500,000",GSE,Jim Crane,ABall / BFirkus,
"Eovaldi, Nathan",rhp-s,33.138,rejected,BOS,TEX,2,"$34,000,000 ",2023-24,vesting player,,"$17,000,000",ACES,RDavis/BSimpson,Chris Young,
"Bell, Josh",1b-rf,30.321,,SDN,CLE,2,"$33,000,000 ",2023-24,,Y,"$16,500,000",Boras Corp.,Paul Dolan,Antonetti/Chernoff,
"Rogers, Taylor",lhp,32.196,,MIL,SFN,3,"$33,000,000 ",2023-25,,,"$11,000,000",Frontline,Greg Johnson,F Zaidi / P Putila,
"Jansen, Kenley",rhp-c,35.274,,ATL,BOS,2,"$32,000,000 ",2023-24,,,"$16,000,000",Wasserman,John Henry,CBloom/BO'Halloran,
"Vázquez, Christian",c,32.314,,HOU,MIN,3,"$30,000,000 ",2023-25,,,"$10,000,000",MDR Spts,Jim Pohlad,DFalvey /TLevine,
"Martinez, Nick",rhp,32.330,,SDN,SDN,3,"$26,000,000 ",2023-25,player,,"$8,666,667",RMG Baseball,Peter Seidler,A.J. Preller,
"Quintana, Jose",lhp-s,34.158,,SLN,NYN,2,"$26,000,000 ",2023-24,,,"$13,000,000",MDR Spts,Steve Cohen,Billy Eppler,
"Wacha, Michael",rhp-s,32.000,,BOS,SDN,4,"$26,000,000 ",2023-26,,,"$6,500,000",CAA,Peter Seidler,A.J. Preller,
"Heaney, Andrew",lhp-s,32.026,,LAN,TEX,2,"$25,000,000 ",2023-24,,Y,"$12,500,000",Icon Spts,RDavis/BSimpson,Chris Young,
"Manaea, Sean",lhp-s,31.150,,SDN,SFN,2,"$25,000,000 ",2023-24,,,"$12,500,000",Boras Corp.,Greg Johnson,F Zaidi / P Putila,
"Stripling, Ross",rhp,33.220,,TOR,SFN,2,"$25,000,000 ",2023-24,,Y,"$12,500,000",Beverly Hills SC,Greg Johnson,F Zaidi / P Putila,
"Turner, Justin",dh-3b,38.220,,LAN,BOS,2,"$21,700,000 ",2023-24,player,,"$10,850,000",Vayner Spts,John Henry,CBloom/BO'Halloran,
"Kershaw, Clayton",lhp-s,35.104,,LAN,LAN,1,"$20,000,000 ",2023,,,"$20,000,000",Excel,Mark Walter,AFriedman / BGomes,
