Player,Position,Age,Qual Offer,Old Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops,Details
"Tucker, Kyle",rf,29,rejected,CHN,LAN,4,"$240,000,000 ",2026-29,,,"$60,000,000",Excel,Mark Walter,AFriedman / BGomes,
"Cease, Dylan",rhp-s,30,rejected,SDN,TOR,7,"$210,000,000 ",2026-32,,,"$30,000,000",Boras Corp.,Edward Rogers,MShapiro/RAtkins,
"Bregman, Alex",3b,32,,BOS,CHN,5,"$175,000,000 ",2026-30,,,"$35,000,000",Boras Corp.,Tom Ricketts,JHoyer / CHawkins,
"Bellinger, Cody",cf,30,,NYA,NYA,5,"$162,500,000 ",2026-30,,,"$32,500,000",Boras Corp.,Hal Steinbrenner,Brian Cashman,
"Alonso, Pete",1b,31,,NYN,BAL,5,"$155,000,000 ",2026-30,,,"$31,000,000",Boras Corp.,David Rubenstein,Mike Elias,
"Schwarber, Kyle",lf-dh,33,rejected,PHI,PHI,5,"$150,000,000 ",2026-30,,,"$30,000,000",Excel,John Middleton,DDombrowski / PMattingly,
"Suárez, Ranger",lhp-s,30,rejected,PHI,BOS,5,"$130,000,000 ",2026-30,,,"$26,000,000",Boras Corp.,John Henry,Craig Breslow,
"Bichette, Bo",2b,28,rejected,TOR,NYN,3,"$126,000,000 ",2026-28,,,"$42,000,000",Vayner Sports,Steve Cohen,David Stearns,
"Valdez, Framber",lhp-s,32,rejected,HOU,DET,3,"$115,000,000 ",2026-28,player,,"$38,333,333",Octagon,Chris Ilitch,SHarris / JGreenberg,
"Naylor, Josh",1b,29,,SEA,SEA,5,"$92,500,000 ",2026-30,,,"$18,500,000",ISE,John Stanton,J Dipoto / J Hollander,
"King, Michael",rhp-s,31,rejected,SDN,SDN,3,"$75,000,000 ",2026-28,player (2),,"$25,000,000",Excel,John Seidler,A.J. Preller,
"Díaz, Edwin",rhp-c,32,rejected,NYN,LAN,3,"$69,000,000 ",2026-28,,,"$23,000,000",Wasserman,Mark Walter,AFriedman / BGomes,
"Williams, Devin",rhp-c,31,,NYA,NYN,3,"$51,000,000 ",2026-28,,,"$17,000,000",Klutch Spts,Steve Cohen,David Stearns,
"Realmuto, J.T.",c,35,,PHI,PHI,3,"$45,000,000 ",2026-28,,,"$15,000,000",CAA,John Middleton,DDombrowski / PMattingly,
"Suarez, Robert",rhp-c,35,,SDN,ATL,3,"$45,000,000 ",2026-28,,,"$15,000,000",Amuse Sports,Atl Braves Holdings,Alex Anthopoulos,
"Kelly, Merrill",rhp-s,36,,TEX,ARI,2,"$40,000,000 ",2026-27,vesting,,"$20,000,000",Apex,Ken Kendrick,Mike Hazen,
"Polanco, Jorge",3b-2b,32,,SEA,NYN,2,"$40,000,000 ",2026-27,,,"$20,000,000",Octagon,Steve Cohen,David Stearns,
"Rogers, Tyler",rhp,35,,NYN,TOR,3,"$37,000,000 ",2026-28,,,"$12,333,333",Frontline,Edward Rogers,MShapiro/RAtkins,
