Team,C,CI,MI,OF,RP,SP
ANA,1.8989109025605375,0.672185987445879,2.833333333333333,2.780597014925373,0.9711667230534635,1.6175861175861177
ARI,1.9939393939393937,2.4375,1.0,1.408890306122449,1.4245569594859486,0.980183023125317
ATL,2.0476190476190474,2.471014492753623,1.0,1.3513372990645718,1.3695093800093796,1.2412094017094017
BAL,1.2412509307520476,1.0,2.0729166666666665,1.2432323232323232,1.0047642679900746,1.4964225589225588
BOS,1.0,1.4604858544586898,0.5946428579081633,0.7905063686313686,1.3501041501872066,1.050056423959934
CHA,1.0720709105560031,1.16874999775,1.183712121212121,1.5065688775510204,0.8088170709654084,2.1535012285012285
CHN,1.3616945373467113,1.1607142857142856,0.9280952380952382,1.1665904840110248,1.4132750442274153,0.85807282998753
CIN,1.0,0.609375,1.0,1.0,1.7029378227062422,1.5726576933227765
CLE,1.4166666666666665,0.889745670995671,1.0,1.0,1.257414190747524,1.0
COL,1.060392156862745,1.504120879120879,0.5309139784946236,0.9852272980165308,1.0477123287699115,2.480519480519481
DET,1.9127710843373493,1.0,1.2758261779028395,1.8907838983050849,1.2947636655616281,1.5050993025668764
HOU,0.9120082815734989,0.4094551282051282,1.0,0.8598379468632633,0.9581440303027061,1.2827513227513228
KCA,1.8526315789473684,1.2572398190045249,1.0,1.5304924242424243,1.0308282847482828,1.3238825363385784
LAN,1.0,0.659109477124183,1.4555860805860805,1.0253568141866014,1.2091760296602392,0.835452922022293
MIA,2.088888888888889,1.397012578616352,0.7941176470588236,1.8973969780219782,1.5785452642595499,0.8583444741532977
MIL,0.776255707762557,1.4581447963800904,0.8333333333333334,0.5598958333333334,1.4748514206458132,2.104223517363935
MIN,0.6103241229879709,0.7722867194916885,0.844047619047619,0.8135714285714286,1.3666978480890002,1.6498426479887154
NYA,1.0,0.8701121794871794,0.75,1.385027418126428,1.2923080660865522,1.0082446263196698
NYN,0.4494915449543398,0.718768194229403,1.2899481531974162,0.689554680759391,1.0630812259410944,0.9190370337957788
OAK,1.0,2.3125,1.5807622504537207,1.1107954545454546,0.9453310823443829,2.441386554621849
PHI,1.0,1.4375,1.138265306122449,0.4368340877002294,1.139324352138144,0.6915456053812862
PIT,1.0666666666666667,1.9567069392812888,1.0,1.8282926312817613,1.49029959359945,1.6411367536987436
SDN,2.071428571428571,1.5381944419126157,1.1023809523809522,3.0,1.8315175957487948,1.7146066804795457
SEA,0.6372549019607843,1.4980192416525184,1.0,2.3449675324675323,1.6311306340718104,0.6023550724637682
SFN,1.5232323232323235,0.4121376811594203,0.5,1.089942494534915,0.9013501682888397,1.2036449155163358
SLN,1.0682539682539682,3.0,1.0,1.0,1.0454940290707802,1.119128787878788
STL,1.0,1.0,1.0,1.0,1.8888888888888886,0.658135198135198
TBA,0.814640522875817,2.2894736842105265,1.3371647509578544,1.434375,1.706959706959707,1.398974362536859
TEX,0.8217283950617285,2.1050420168067228,0.4666666666666666,1.7031112798775843,1.7085185357828852,1.4812992960769866
TOR,1.0,1.253038574328897,0.6481481481481481,0.9335236256664828,1.4957646949297803,0.9839968364968366
WAS,1.1619047619047618,2.2777777777777777,1.6135582010582012,2.4250000000000003,1.569997838418891,1.1789115654567541
