Team,C,CI,MI,OF,RP,SP
ANA,2.3541272213689006,0.9304996921738857,2.0206717958541245,2.297555112621289,0.9049979900152461,1.6986499724887782
ARI,1.6660417879549407,1.6288624804410372,1.247947876520118,1.9211194310921589,1.5867158686350644,1.1985214265275947
ATL,1.6740298615278864,1.6969686190806113,1.3388927064170804,1.9156723467848509,1.5244903479921526,1.4283700443857126
BAL,1.4008273319987505,1.07531802452928,1.3606312956003803,1.4260839270651786,0.9364465599595156,1.60124377348678
BOS,0.8493576684132519,1.3678930101478952,0.7262451414817814,1.0629836606481697,1.3580876051428628,1.0485451220546973
CHA,1.1462116826417155,1.3079126712944593,1.365011711695489,1.178165508871682,0.8389523923918812,2.080354396560627
CHN,1.2611675256950434,1.1925918682130747,0.9244201104184215,1.4418913912089686,1.3851321933886,0.8390311638605372
CIN,1.0110972527845685,1.5919573912489315,0.8696245062140497,1.2618834763451445,1.448752314215724,1.2468070462528553
CLE,1.276477677556677,1.0127884414950126,1.0122396374158935,1.3843880783909452,1.200791134395883,0.9426741332294564
COL,0.8619523031348237,1.735796591947581,1.1908642465647665,1.006402306470709,1.0268545436365109,2.272218060402486
DET,1.8395168810697315,1.254877280426399,1.5000226469984297,1.9464435155898754,1.243229257892194,1.3713175712958996
HOU,0.9288344839738087,0.7735249973546641,0.9374143593509066,0.9352658079139834,0.864820390804237,1.1654048210019332
KCA,1.6486076336641615,1.0448166156350442,1.3974443064886424,1.7018007730188673,1.0880239395846654,1.3161797760022025
LAN,1.1209189126542611,0.8743816137041106,0.9064368433680665,1.2010459834729723,1.117475979850074,0.8603703293143188
MIA,1.8671717598290525,1.345164901565077,1.2530557729985754,2.0889792846651263,1.6006077275230872,0.7962914572846951
MIL,0.6793002789314954,1.9373220214723865,0.8861785439832783,0.9455515112636886,1.3316471156343976,1.9148599086525486
MIN,0.6682151264651836,1.4459227104605488,0.7629198976566419,0.8529566494443852,1.203342988208195,1.4292531655917546
NYA,1.0556224930111306,1.1061074086021054,0.8451907707386834,1.2023912680216278,1.2562478602261427,0.9133493376137434
NYN,0.6456045250503173,0.8734535079462582,0.6652050670097767,0.7173438932616484,0.992537303499514,0.9842621304288647
OAK,1.0121184089745987,1.9263291487740006,1.3935147024877932,1.1622285888306758,1.0212435228573113,2.6104180189432964
PHI,0.879331431998553,1.0161412039218105,0.7454502117596148,1.004221704071814,1.1740928229987941,0.8962288977187948
PIT,1.1753796527818605,1.9321498340798335,1.0790124382414783,1.469593836223604,1.5269881878098657,1.6457459922258604
SDN,2.1492891095622393,1.999155971616787,1.5969439101624119,2.4686240308016965,1.7902618476765026,1.4753858288079493
SEA,1.0909609154865836,1.5157359549633929,0.6919627282179686,1.4008746366861207,1.6816290677983399,0.6849386390620569
SFN,1.28192818603501,0.6183619286714758,1.1177143885294711,1.2552822199031497,0.8734091706356264,1.00779354271276
SLN,0.930958486121736,1.6805395327550026,0.948333168014926,1.1604762770709303,1.3367485570922177,1.584245565008439
STL,1.0147112180130193,1.5448067527430955,0.6165872734074098,1.3434849070274113,1.719588633588892,0.6322513678611591
TBA,0.9783475120234224,2.1527752508403424,0.869447717287551,1.3628402292992507,1.7196426687010047,1.5387923556355028
TEX,0.8869868527232454,2.133543542130647,0.7681868172328253,1.284428550617761,1.7490202002404505,1.4265581598640609
TOR,0.9105789135677829,1.392984372351042,0.7032929111902828,1.150534797419279,1.4499973648788813,0.9178103463967138
WAS,1.5005969124636123,1.9162795454424373,1.1810239503938254,1.8186157434656325,1.6766534756751634,1.407082764096857
