Team,C,CI,MI,OF,RP,SP
ANA,2.354127221368899,0.9304996921738858,2.020671795854124,2.2975551126212888,0.9049979900152466,1.6986499724887796
ARI,1.6660417879549405,1.6288624804410377,1.2479478765201175,1.9211194310921589,1.5867158686350649,1.1985214265275945
ATL,1.6740298615278857,1.6969686190806117,1.33889270641708,1.9156723467848509,1.524490347992153,1.4283700443857126
BAL,1.4008273319987494,1.07531802452928,1.3606312956003803,1.4260839270651786,0.936446559959516,1.6012437734867808
BOS,0.8493576684132523,1.3678930101478954,0.7262451414817812,1.0629836606481702,1.3580876051428628,1.0485451220546973
CHA,1.1462116826417146,1.3079126712944593,1.3650117116954887,1.178165508871682,0.8389523923918815,2.080354396560628
CHN,1.2611675256950432,1.1925918682130752,0.9244201104184214,1.4418913912089684,1.3851321933886003,0.8390311638605371
CIN,1.0110972527845687,1.5919573912489322,0.86962450621405,1.261883476345145,1.448752314215724,1.246807046252856
CLE,1.2764776775566766,1.012788441495013,1.0122396374158935,1.3843880783909452,1.200791134395883,0.9426741332294568
COL,0.8619523031348232,1.7357965919475813,1.1908642465647663,1.0064023064707095,1.0268545436365109,2.2722180604024875
DET,1.8395168810697309,1.2548772804263995,1.5000226469984297,1.9464435155898754,1.2432292578921944,1.3713175712959003
HOU,0.9288344839738084,0.7735249973546641,0.9374143593509066,0.9352658079139834,0.8648203908042372,1.1654048210019339
KCA,1.6486076336641604,1.0448166156350447,1.3974443064886417,1.7018007730188671,1.0880239395846656,1.3161797760022032
LAN,1.1209189126542607,0.8743816137041109,0.9064368433680664,1.2010459834729723,1.1174759798500746,0.8603703293143191
MIA,1.8671717598290518,1.345164901565078,1.2530557729985754,2.0889792846651263,1.6006077275230879,0.7962914572846952
MIL,0.6793002789314966,1.9373220214723865,0.886178543983279,0.9455515112636901,1.3316471156343976,1.9148599086525495
MIN,0.6682151264651837,1.445922710460549,0.7629198976566419,0.8529566494443854,1.203342988208195,1.429253165591755
NYA,1.0556224930111302,1.106107408602106,0.8451907707386833,1.2023912680216278,1.2562478602261427,0.9133493376137436
NYN,0.6456045250503174,0.8734535079462582,0.6652050670097767,0.7173438932616485,0.992537303499514,0.9842621304288649
OAK,1.0121184089745983,1.9263291487740006,1.3935147024877932,1.1622285888306765,1.0212435228573118,2.6104180189432973
PHI,0.8793314319985532,1.0161412039218105,0.7454502117596146,1.0042217040718142,1.1740928229987944,0.8962288977187945
PIT,1.1753796527818603,1.9321498340798344,1.0790124382414779,1.4695938362236047,1.526988187809866,1.6457459922258608
SDN,2.149289109562239,1.9991559716167882,1.5969439101624119,2.4686240308016965,1.790261847676503,1.4753858288079498
SEA,1.090960915486584,1.5157359549633938,0.6919627282179684,1.4008746366861207,1.68162906779834,0.6849386390620567
SFN,1.2819281860350098,0.6183619286714759,1.1177143885294711,1.2552822199031497,0.8734091706356266,1.0077935427127607
SLN,0.930958486121736,1.680539532755003,0.9483331680149256,1.1604762770709307,1.336748557092218,1.5842455650084386
STL,1.0147112180130202,1.544806752743096,0.61658727340741,1.3434849070274115,1.7195886335888917,0.6322513678611589
TBA,0.9783475120234226,2.152775250840343,0.8694477172875507,1.3628402292992512,1.7196426687010047,1.5387923556355028
TEX,0.8869868527232457,2.1335435421306475,0.7681868172328251,1.2844285506177617,1.7490202002404507,1.426558159864061
TOR,0.9105789135677833,1.3929843723510424,0.7032929111902828,1.150534797419279,1.4499973648788813,0.9178103463967138
WAS,1.5005969124636116,1.9162795454424377,1.1810239503938247,1.8186157434656318,1.6766534756751637,1.407082764096857
